Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
Corridor Right,Hidden Corridor,3,16.2,0.952,925,2.0667,36.1612,-115.4484,0.0,1.0,0.0,2.0,0.0,0.0,0,3,,5.4,98
Chrysler Crack Buttress,Sandy Corridor,1,6.8,0.9535,928,3.8,36.1628,-115.4481,,,,,,,1,0,5.9,6.8,131
Below Chrysler Crack,Sandy Corridor,2,12.0,0.954,929,2.0,36.1629,-115.4479,0.0,0.0,0.0,2.0,0.0,0.0,0,2,,6.0,112
California Crag,Calico Hills Trail,8,38.7,0.9544,931,1.8375,36.1612,-115.4473,0.0,3.0,0.0,3.0,1.0,0.0,1,7,5.10,4.84,48
The Pier,Calico Hills Trail,5,23.3,0.9565,939,2.26,36.1607,-115.4463,0.0,4.0,0.0,1.0,0.0,0.0,0,5,,4.66,79
Americrag,Calico Hills Trail,2,7.0,0.9577,944,1.5,36.1626,-115.4461,0.0,2.0,0.0,0.0,0.0,0.0,0,2,,3.5,130
Running Man Wall,Calico Hills Trail,11,58.2,0.9651,946,2.7455,36.1602,-115.4423,0.0,5.0,1.0,1.0,2.0,0.0,2,9,5.10+,5.29,24
The Mass Production Wall,Calico Tanks Area,7,42.3,0.9652,957,2.3286,36.1644,-115.4432,0.0,1.0,1.0,5.0,0.0,0.0,0,7,,6.04,40
Hall of Fame,Calico Tanks Area,10,54.2,0.9664,964,2.42,36.1654,-115.4429,0.0,5.0,1.0,4.0,0.0,0.0,0,10,,5.42,26
Computer Virus Wall,Calico Tanks Area,1,5.0,0.9675,974,1.0,36.1657,-115.4425,0.0,0.0,0.0,1.0,0.0,0.0,0,1,,5.0,138
Holiday Wall,Calico Tanks Area,7,32.0,0.9686,975,2.5714,36.1629,-115.4414,0.0,7.0,0.0,0.0,0.0,0.0,0,7,,4.57,59
Stratocaster Area,Calico Hills Trail,15,77.1,0.9692,982,2.6067,36.1585,-115.4401,0.0,6.0,0.0,3.0,2.0,0.0,4,11,5.7+,5.14,16
Upper Tier,James Brown Area,3,15.5,0.972,997,3.1667,36.163,-115.4399,0.0,3.0,0.0,0.0,0.0,0.0,0,3,,5.17,101
Lower Tier,James Brown Area,1,6.7,0.9721,1000,2.7,36.1628,-115.4398,0.0,0.0,0.0,1.0,0.0,0.0,0,1,,6.7,132
